#alt_asm_name	prim_asm_name	alt_scaf_name	alt_scaf_acc	parent_type	parent_name	parent_acc	region_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
PATCHES	Primary Assembly	HG30_PATCH	NW_016107298.1	CHROMOSOME	5	NC_000005.10	REGION234	b	1	673059	179235294	179907499	0	0
PATCHES	Primary Assembly	HSCHR6_1_CTG10	NW_013171803.1	CHROMOSOME	6	NC_000006.12	REGION225	+	1	82315	13101650	13179113	0	0
PATCHES	Primary Assembly	HG1651_PATCH	NW_012132918.1	CHROMOSOME	6	NC_000006.12	REGION211	+	1	320750	61123605	61470683	0	0
PATCHES	Primary Assembly	HG2128_PATCH	NW_009646200.1	CHROMOSOME	6	NC_000006.12	REGION194	+	1	268330	67533466	67796090	0	0
PATCHES	Primary Assembly	HG2072_PATCH	NW_013171802.1	CHROMOSOME	6	NC_000006.12	REGION214	+	1	245716	82140389	82375901	0	0
PATCHES	Primary Assembly	HG2121_PATCH	NW_017363815.1	CHROMOSOME	6	NC_000006.12	CASP8AP2	+	1	139427	89804656	89941739	0	0
PATCHES	Primary Assembly	HG2088_PATCH	NW_017852929.1	CHROMOSOME	7	NC_000007.14	REGION241	+	1	142129	99092372	99228806	0	0
PATCHES	Primary Assembly	HG2266_PATCH	NW_017852930.1	CHROMOSOME	7	NC_000007.14	REGION242	b	1	468267	107154479	107622612	0	0
PATCHES	Primary Assembly	HG2239_PATCH	NW_012132919.1	CHROMOSOME	7	NC_000007.14	REGION212	+	1	179932	154422352	154602937	0	0
PATCHES	Primary Assembly	HG2068_PATCH	NW_017852932.1	CHROMOSOME	8	NC_000008.11	REGION243	+	1	265876	21395510	21659610	0	0
PATCHES	Primary Assembly	HG2067_PATCH	NW_017852931.1	CHROMOSOME	8	NC_000008.11	REGION244	+	1	156998	57022151	57173350	0	0
PATCHES	Primary Assembly	HSCHR9_1_CTG6	NW_013171804.1	CHROMOSOME	9	NC_000009.12	REGION226	+	1	163882	8983671	9142737	0	0
PATCHES	Primary Assembly	HSCHR9_1_CTG7	NW_013171805.1	CHROMOSOME	9	NC_000009.12	REGION227	+	1	134099	24949709	25079413	0	0
PATCHES	Primary Assembly	HG2030_PATCH	NW_009646201.1	CHROMOSOME	9	NC_000009.12	ABO	+	1	330164	133174055	133504070	0	0
PATCHES	Primary Assembly	HG2244_HG2245_PATCH	NW_011332694.1	CHROMOSOME	10	NC_000010.11	REGION205	+	1	420164	38918270	39338430	0	0
PATCHES	Primary Assembly	HSCHR10_1_CTG6	NW_013171806.1	CHROMOSOME	10	NC_000010.11	REGION216	+	1	185507	65503225	65684914	0	0
PATCHES	Primary Assembly	HG2191_PATCH	NW_009646202.1	CHROMOSOME	10	NC_000010.11	REGION195	+	1	277797	74797382	75073121	0	0
PATCHES	Primary Assembly	HG2334_PATCH	NW_013171807.1	CHROMOSOME	10	NC_000010.11	PTEN	+	1	264545	87784179	88048756	0	0
PATCHES	Primary Assembly	HG2242_HG2243_PATCH	NW_011332693.1	CHROMOSOME	10	NC_000010.11	REGION204	+	1	85284	124109957	124195365	0	0
PATCHES	Primary Assembly	HG2241_PATCH	NW_011332692.1	CHROMOSOME	10	NC_000010.11	REGION203	+	1	14347	131588434	131607480	0	0
PATCHES	Primary Assembly	HG107_PATCH	NW_015148966.1	CHROMOSOME	11	NC_000011.10	MUCIN_REGION_1	+	1	196940	1012544	1207515	0	0
PATCHES	Primary Assembly	HSCHR11_1_CTG1_2	NW_011332695.1	CHROMOSOME	11	NC_000011.10	OLFACTORY_REGION_2	+	1	203552	7779133	7972558	0	0
PATCHES	Primary Assembly	HG1708_PATCH	NW_017363816.1	CHROMOSOME	11	NC_000011.10	OLFACTORY_REGION_4	+	1	140877	49958373	50099251	0	0
PATCHES	Primary Assembly	HG2116_PATCH	NW_013171808.1	CHROMOSOME	11	NC_000011.10	REGION215	+	1	181958	92232311	92410192	0	0
PATCHES	Primary Assembly	HG2217_PATCH	NW_009646203.1	CHROMOSOME	11	NC_000011.10	SLC37A4	+	1	108875	118978401	119087276	0	0
PATCHES	Primary Assembly	HSCHR12_2_CTG1	NW_013171809.1	CHROMOSOME	12	NC_000012.12	REGION217	+	1	109323	1033530	1135924	0	0
PATCHES	Primary Assembly	HG1362_PATCH	NW_011332696.1	CHROMOSOME	12	NC_000012.12	REGION206	b	1	541038	12031003	12572035	0	0
PATCHES	Primary Assembly	HG23_PATCH	NW_009646204.1	CHROMOSOME	12	NC_000012.12	REGION196	b	1	211377	17717409	17928910	0	0
PATCHES	Primary Assembly	HG2063_PATCH	NW_015148967.1	CHROMOSOME	12	NC_000012.12	REGION232	b	1	315610	86768210	87083988	0	0
PATCHES	Primary Assembly	HG2247_PATCH	NW_011332697.1	CHROMOSOME	12	NC_000012.12	REGION207	+	1	86533	122057735	122145576	0	0
PATCHES	Primary Assembly	HG2291_PATCH	NW_011332699.1	CHROMOSOME	13	NC_000013.11	BAGE5	+	169909	356766	18171249	18358106	169908	0
PATCHES	Primary Assembly	HSCHR13_1_CTG7	NW_013171810.1	CHROMOSOME	13	NC_000013.11	REGION218	+	1	168146	84294441	84452423	0	0
PATCHES	Primary Assembly	HG2216_PATCH	NW_009646205.1	CHROMOSOME	13	NC_000013.11	REGION197	+	12122	35455	86269523	86292877	12121	0
PATCHES	Primary Assembly	HG2249_PATCH	NW_011332700.1	CHROMOSOME	13	NC_000013.11	REGION208	+	1	148762	100900735	101049613	0	0
PATCHES	Primary Assembly	HSCHR13_1_CTG8	NW_013171811.1	CHROMOSOME	13	NC_000013.11	REGION219	+	1	123480	108604134	108722945	0	0
PATCHES	Primary Assembly	HG2288_HG2289_PATCH	NW_011332698.1	CHROMOSOME	13	NC_000013.11	REGION209	+	1	206320	113936976	114147229	0	0
PATCHES	Primary Assembly	HSCHR15_6_CTG8	NW_012132920.1	CHROMOSOME	15	NC_000015.10	REGION25	b	1	2365364	30012327	32846950	0	0
PATCHES	Primary Assembly	HSCHR16_5_CTG1	NW_013171812.1	CHROMOSOME	16	NC_000016.10	REGION221	+	1	59016	2820536	2873621	0	0
PATCHES	Primary Assembly	HG926_PATCH	NW_017852933.1	CHROMOSOME	16	NC_000016.10	REGION245	b	1	1927115	21176310	22760988	0	0
PATCHES	Primary Assembly	HSCHR16_4_CTG3_1	NW_013171813.1	CHROMOSOME	16	NC_000016.10	REGION220	+	1	267463	71137292	71399966	0	0
PATCHES	Primary Assembly	HSCHR16_3_CTG3_1	NW_012132921.1	CHROMOSOME	16	NC_000016.10	REGION213	+	1	169136	75930096	76091406	0	0
PATCHES	Primary Assembly	HG2285_HG106_HG2252_PATCH	NW_017363817.1	CHROMOSOME	17	NC_000017.11	RFLNB	+	1	281919	402638	722442	0	0
PATCHES	Primary Assembly	HG2046_PATCH	NW_016107299.1	CHROMOSOME	17	NC_000017.11	POLR2A	+	1	154723	7379544	7534268	0	0
PATCHES	Primary Assembly	HSCHR17_3_CTG1	NW_017363819.1	CHROMOSOME	17	NC_000017.11	REGION238	+	1	276292	18239627	18506313	0	0
PATCHES	Primary Assembly	HSCHR17_11_CTG4	NW_017363818.1	CHROMOSOME	17	NC_000017.11	REGION237	+	1	246895	52434177	52673566	0	0
PATCHES	Primary Assembly	HSCHR18_5_CTG1_1	NW_014040928.1	CHROMOSOME	18	NC_000018.10	REGION230	+	1	205101	22388680	22588100	0	0
PATCHES	Primary Assembly	HG2213_PATCH	NW_013171814.1	CHROMOSOME	18	NC_000018.10	CTIF	+	1	407387	48514982	48918117	0	0
PATCHES	Primary Assembly	HG26_PATCH	NW_014040929.1	CHROMOSOME	19	NC_000019.10	REGION231	b	1	405389	38590365	38995717	0	0
PATCHES	Primary Assembly	HG2021_PATCH	NW_009646206.1	CHROMOSOME	19	NC_000019.10	FCGBP	+	1	370917	39740125	40095774	0	0
PATCHES	Primary Assembly	HSCHR19KIR_0019-4656-A_CTG3_1	NW_016107300.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	163926	54698377	54862477	0	0
PATCHES	Primary Assembly	HSCHR19KIR_CA01-TA01_1_CTG3_1	NW_016107301.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	170206	54698377	54868566	0	0
PATCHES	Primary Assembly	HSCHR19KIR_CA01-TA01_2_CTG3_1	NW_016107302.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	168131	54698377	54866476	0	0
PATCHES	Primary Assembly	HSCHR19KIR_CA01-TB04_CTG3_1	NW_016107303.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	293522	54698377	54859094	0	0
PATCHES	Primary Assembly	HSCHR19KIR_CA01-TB01_CTG3_1	NW_016107304.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	241058	54698377	54911985	0	0
PATCHES	Primary Assembly	HSCHR19KIR_HG2394_CTG3_1	NW_016107305.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	159285	54698377	54857647	0	0
PATCHES	Primary Assembly	HSCHR19KIR_502960008-2_CTG3_1	NW_016107306.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	178197	54698377	54877599	0	0
PATCHES	Primary Assembly	HSCHR19KIR_502960008-1_CTG3_1	NW_016107307.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	166713	54698377	54865096	0	0
PATCHES	Primary Assembly	HSCHR19KIR_0010-5217-AB_CTG3_1	NW_016107308.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	99845	54698377	54877460	0	0
PATCHES	Primary Assembly	HSCHR19KIR_7191059-1_CTG3_1	NW_016107309.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	161095	54698377	54859438	0	0
PATCHES	Primary Assembly	HSCHR19KIR_0019-4656-B_CTG3_1	NW_016107310.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	223118	54698377	54863896	0	0
PATCHES	Primary Assembly	HSCHR19KIR_CA04_CTG3_1	NW_016107311.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	100553	54698377	54879431	0	0
PATCHES	Primary Assembly	HSCHR19KIR_7191059-2_CTG3_1	NW_016107313.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	171263	54698377	54869651	0	0
PATCHES	Primary Assembly	HSCHR19KIR_HG2396_CTG3_1	NW_016107314.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	+	1	145691	54698377	54857701	0	0
PATCHES	Primary Assembly	HSCHR19KIR_HG2393_CTG3_1	NW_016107312.1	CHROMOSOME	19	NC_000019.10	LRC_KIR	-	1	156965	54720577	54911985	0	0
PATCHES	Primary Assembly	HSCHR22_4_CTG1	NW_009646207.1	CHROMOSOME	22	NC_000022.11	CYP2D6	+	1	156562	42085050	42253758	0	0
PATCHES	Primary Assembly	HSCHR22_6_CTG1	NW_014040930.1	CHROMOSOME	22	NC_000022.11	CYP2D6	+	1	155930	42095280	42253758	0	0
PATCHES	Primary Assembly	HSCHR22_7_CTG1	NW_014040931.1	CHROMOSOME	22	NC_000022.11	CYP2D6	+	1	174749	42106394	42253758	0	0
PATCHES	Primary Assembly	HSCHR22_5_CTG1	NW_009646208.1	CHROMOSOME	22	NC_000022.11	CYP2D6	+	1	153027	42114417	42253758	0	0
PATCHES	Primary Assembly	HSCHR22_8_CTG1	NW_015148968.1	CHROMOSOME	22	NC_000022.11	CYP2D6	+	1	145162	42122259	42253758	0	0
PATCHES	Primary Assembly	HG1311_PATCH	NW_015148969.1	CHROMOSOME	22	NC_000022.11	SHANK3	+	1	101037	50663907	50764925	0	0
PATCHES	Primary Assembly	HSCHRX_3_CTG7	NW_017363820.1	CHROMOSOME	X	NC_000023.11	REGION239	+	1	188004	4950957	5129468	0	0
PATCHES	Primary Assembly	HG2062_PATCH	NW_009646209.1	CHROMOSOME	Y	NC_000024.10	REGION198	+	34758	101150	56821510	56887902	34757	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_1_CTG3	NT_187515.1	CHROMOSOME	1	NC_000001.11	REGION108	+	1	354444	2448811	2791270	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_2_CTG3	NT_187517.1	CHROMOSOME	1	NC_000001.11	PRAME_REGION_1	+	20633	256271	13075113	13312803	20632	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_1_CTG11	NT_187514.1	CHROMOSOME	1	NC_000001.11	REGION109	+	1	109528	30352191	30456601	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_4_CTG31	NT_187520.1	CHROMOSOME	1	NC_000001.11	1Q21	+	1	185285	144488706	144674781	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_1_CTG31	NW_003315905.1	CHROMOSOME	1	NC_000001.11	REGION2	+	17254	182439	153700531	153865738	17253	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_2_CTG31	NW_003315906.1	CHROMOSOME	1	NC_000001.11	MTX1	+	15377	110268	155210382	155305245	15376	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_3_CTG31	NW_003315907.2	CHROMOSOME	1	NC_000001.11	REGION3	+	1	366580	198370083	198725175	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_4_CTG32_1	NT_187521.1	CHROMOSOME	1	NC_000001.11	REGION110	+	1	50258	234163457	234211370	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_3_CTG32_1	NT_187519.1	CHROMOSOME	1	NC_000001.11	REGION111	+	1	911658	242987893	243895211	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_1_CTG32_1	NT_187516.1	CHROMOSOME	1	NC_000001.11	REGION112	+	1	425601	245305697	245727576	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR1_2_CTG32_1	NT_187518.1	CHROMOSOME	1	NC_000001.11	OLFACTORY_REGION_3	+	1	165834	248352027	248511794	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_2_CTG1	NT_187525.1	CHROMOSOME	2	NC_000002.12	REGION113	+	1	136240	728878	860300	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_3_CTG1	NT_187526.1	CHROMOSOME	2	NC_000002.12	REGION114	+	1	70887	1204935	1273724	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_4_CTG1	NT_187529.1	CHROMOSOME	2	NC_000002.12	REGION115	+	1	223625	1315177	1541254	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_1_CTG1	NT_187522.1	CHROMOSOME	2	NC_000002.12	REGION121	+	1	120616	3391898	3511146	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_1_CTG5	NW_003315908.1	CHROMOSOME	2	NC_000002.12	REGION4	-	1	143390	36225959	36363315	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_1_CTG7	NT_187524.1	CHROMOSOME	2	NC_000002.12	REGION116	-	1	133041	90269482	90402511	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_5_CTG7_2	NT_187531.1	CHROMOSOME	2	NC_000002.12	REGION117	+	1	138019	115908855	116040717	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_4_CTG7_2	NT_187530.1	CHROMOSOME	2	NC_000002.12	REGION118	+	1	110395	116874515	116981849	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_3_CTG7_2	NT_187528.1	CHROMOSOME	2	NC_000002.12	REGION119	+	1	110099	131697037	131806107	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_2_CTG7_2	NW_003571033.2	CHROMOSOME	2	NC_000002.12	REGION44	+	1	96131	148934069	149024119	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_1_CTG7_2	NW_003315909.1	CHROMOSOME	2	NC_000002.12	SPC25	+	1	123821	168830363	168937194	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_3_CTG15	NT_187527.1	CHROMOSOME	2	NC_000002.12	REGION120	+	1	174166	241787903	241961305	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR2_1_CTG15	NT_187523.1	CHROMOSOME	2	NC_000002.12	REGION120	+	1	161578	241961306	242117508	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_1_CTG1	NW_003871060.2	CHROMOSOME	3	NC_000003.12	REGION73	-	1	173151	11815268	11986497	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_3_CTG1	NT_187535.1	CHROMOSOME	3	NC_000003.12	REGION122	+	1	109187	20277967	20382602	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_4_CTG2_1	NT_187537.1	CHROMOSOME	3	NC_000003.12	REGION123	+	1	224108	125665519	125883802	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_1_CTG2_1	NW_003315913.1	CHROMOSOME	3	NC_000003.12	REGION5	+	1	180671	151589366	151759498	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_2_CTG2_1	NT_187533.1	CHROMOSOME	3	NC_000003.12	REGION124	-	1	173649	154111571	154282042	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_3_CTG2_1	NT_187536.1	CHROMOSOME	3	NC_000003.12	REGION125	+	1	248252	166300784	166544173	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_5_CTG2_1	NT_187538.1	CHROMOSOME	3	NC_000003.12	REGION126	-	1	113034	184425340	184533338	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_1_CTG3	NT_187532.1	CHROMOSOME	3	NC_000003.12	MUCIN_REGION_2	+	1	205312	195629504	195827492	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_2_CTG3	NT_187534.1	CHROMOSOME	3	NC_000003.12	REGION127	-	1	162429	197397856	197558882	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR3_9_CTG3	NT_187539.1	CHROMOSOME	3	NC_000003.12	REGION128	-	1	184404	198047549	198235559	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_1_CTG4	NT_187540.1	CHROMOSOME	4	NC_000004.12	REGION129	+	1	220246	21521367	21734410	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_1_CTG6	NW_003315915.1	CHROMOSOME	4	NC_000004.12	REGION6	+	1	376187	34517955	34883858	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_1_CTG8_1	NT_187541.1	CHROMOSOME	4	NC_000004.12	REGION130	+	1	111943	55678095	55785754	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_1_CTG9	NT_167250.2	CHROMOSOME	4	NC_000004.12	UGT2B17	+	1	586476	68306359	69010457	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_4_CTG12	NT_187544.1	CHROMOSOME	4	NC_000004.12	REGION131	+	1	158965	120164199	120317014	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_1_CTG12	NW_003315914.1	CHROMOSOME	4	NC_000004.12	REGION7	+	1	164536	155835378	155987264	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_2_CTG12	NT_187542.1	CHROMOSOME	4	NC_000004.12	REGION132	+	1	119912	186920392	187048061	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_5_CTG12	NT_187545.1	CHROMOSOME	4	NC_000004.12	REGION133	+	1	205944	188341423	188542359	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR4_3_CTG12	NT_187543.1	CHROMOSOME	4	NC_000004.12	REGION134	+	1	244096	189666448	189907070	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_5_CTG1	NT_187550.1	CHROMOSOME	5	NC_000005.10	REGION135	-	1	126136	502435	626896	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_4_CTG1	NT_187548.1	CHROMOSOME	5	NC_000005.10	SLC12A7	+	1	179043	981494	1161361	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_3_CTG1	NT_187547.1	CHROMOSOME	5	NC_000005.10	SLC6A3	-	1	195710	1318299	1509772	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_1_CTG1	NW_003315920.1	CHROMOSOME	5	NC_000005.10	REGION9	-	1	82728	12681426	12744010	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_2_CTG1	NW_003571036.1	CHROMOSOME	5	NC_000005.10	REGION61	b	1	226852	29036498	29254469	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_6_CTG1	NT_187551.1	CHROMOSOME	5	NC_000005.10	REGION136	+	1	164558	33800665	33963236	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_2_CTG1_1	NW_003315917.2	CHROMOSOME	5	NC_000005.10	SMA	b	1	1612928	69216819	71614443	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_3_CTG1_1	NW_003315918.1	CHROMOSOME	5	NC_000005.10	MCTP1	-	1	101241	95169857	95254491	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_4_CTG1_1	NT_187549.1	CHROMOSOME	5	NC_000005.10	REGION137	+	1	172708	125279466	125444151	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_1_CTG5	NW_003315919.1	CHROMOSOME	5	NC_000005.10	REGION8	-	1	173459	162373667	162541648	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR5_2_CTG5	NT_187546.1	CHROMOSOME	5	NC_000005.10	REGION138	+	1	131892	177865465	177993409	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_MHC_APD_CTG1	NT_167244.2	CHROMOSOME	6	NC_000006.12	MHC	+	1	4672374	28734408	33367716	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG7	NT_187555.1	CHROMOSOME	6	NC_000006.12	REGION139	+	1	175808	65774814	65944033	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG6	NT_187554.1	CHROMOSOME	6	NC_000006.12	REGION140	+	1	152148	68262879	68402208	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG2	NW_003315921.1	CHROMOSOME	6	NC_000006.12	REGION10	-	1	124736	79350008	79446911	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG8	NT_187556.1	CHROMOSOME	6	NC_000006.12	REGION141	+	1	870480	127654803	128521146	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG9	NT_187557.1	CHROMOSOME	6	NC_000006.12	REGION142	+	1	66404	166220580	166285980	0	8601
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG3	NW_004166862.2	CHROMOSOME	6	NC_000006.12	REGION99	+	1	185823	168796076	168951646	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG4	NT_187552.1	CHROMOSOME	6	NC_000006.12	REGION143	+	1	197536	169724799	169919706	0	0
ALT_REF_LOCI_1	Primary Assembly	HSCHR6_1_CTG5	NT_187553.1	CHROMOSOME	6	NC_000006.12	REGION144	+	1	271782	170272763	170535221	0	0
